Experiment,,Simulation,
Displacement (mm),Load (kN),Displacement (mm),Load (kN)
0,0,0,0
0.004066713,1.005121888,0.00406761,0.846531737
0.01016454,2.909280095,0.006778354,1.587097507
0.014906398,4.548882185,0.009489695,2.22193651
0.019651245,5.65985044,0.017621925,4.443633819
0.026771357,6.82410068,0.020672334,5.131396006
0.032194339,8.040915302,0.024061211,5.977808143
0.039650229,9.839585943,0.026433486,6.559723962
0.046090113,11.2680335,0.028804564,7.353093315
0.052869961,12.59081409,0.031855272,7.987992118
0.065413653,14.86615219,0.03524385,8.887267639
0.081686186,17.88223545,0.037615826,9.522046842
0.094907414,20.36914668,0.041004404,10.42132236
0.099653757,21.21579802,0.043037611,10.950315
0.103383496,21.79795304,0.046426788,11.74386375
0.105078832,22.06256896,0.048799062,12.32577957
0.109824875,22.96208368,0.052526708,13.27797827
0.11423215,23.75581183,0.055238648,13.80709051
0.118978194,24.65532655,0.058965098,14.97074275
0.122368268,25.29028516,0.063369981,16.18737797
0.124741738,25.66074744,0.066420987,16.76941339
0.127796033,25.66128564,0.069809566,17.66868891
0.132540582,26.82511728,0.076587322,19.36151318
0.138303827,27.88340156,0.082347876,20.89556791
0.147116583,29.78803816,0.093530814,23.75216402
0.159317022,32.75054044,0.097596032,25.02160282
0.172533167,36.13612919,0.10030827,25.49785168
0.186088678,39.52177774,0.104035916,26.45005038
0.200322921,42.90754589,0.106069123,26.97904302
0.211848215,45.23556797,0.109118037,27.93112212
0.220323101,46.87582786,0.111829976,28.46023436
0.224391907,47.51090606,0.115218555,29.35950988
0.226428702,47.4055381,0.117590829,29.9414257
0.227787063,47.24718715,0.120300974,30.78771823
0.229822961,47.30040933,0.123011718,31.528284
0.23423233,47.7240938,0.126401792,32.16324261
0.239320131,48.20076126,0.129451901,32.90386818
0.246104764,48.67772771,0.13317865,34.01465703
0.252550628,49.0489076,0.1389404,35.33725822
0.258657426,49.3671643,0.144700057,37.02990309
0.262728026,49.68506221,0.150800575,38.45829085
0.26408549,49.68530141,0.156222361,39.88655901
,,0.162322281,41.42067353
,,0.167066232,42.69023194
,,0.173166152,44.22434646
,,0.178587639,45.705478
,,0.185027523,47.13392555
,,0.190787778,48.72084366
,,0.196210162,50.04338505
,,0.201631649,51.52451659
,,0.2073931,52.89998116
,,0.213153953,54.3811725
,,0.219255069,55.70383349
,,0.226034319,57.13234085
,,0.232475998,58.24360811
,,0.234171035,58.56108741
