Experiment,
Displacement (mm),Load (kN)
0,0
0.004066713,1.005121888
0.01016454,2.909280095
0.014906398,4.548882185
0.019651245,5.65985044
0.026771357,6.82410068
0.032194339,8.040915302
0.039650229,9.839585943
0.046090113,11.2680335
0.052869961,12.59081409
0.065413653,14.86615219
0.081686186,17.88223545
0.094907414,20.36914668
0.099653757,21.21579802
0.103383496,21.79795304
0.105078832,22.06256896
0.109824875,22.96208368
0.11423215,23.75581183
0.118978194,24.65532655
0.122368268,25.29028516
0.124741738,25.66074744
0.127796033,25.66128564
0.132540582,26.82511728
0.138303827,27.88340156
0.147116583,29.78803816
0.159317022,32.75054044
0.172533167,36.13612919
0.186088678,39.52177774
0.200322921,42.90754589
0.211848215,45.23556797
0.220323101,46.87582786
0.224391907,47.51090606
0.226428702,47.4055381
0.227787063,47.24718715
0.229822961,47.30040933
0.23423233,47.7240938
0.239320131,48.20076126
0.246104764,48.67772771
0.252550628,49.0489076
0.258657426,49.3671643
0.262728026,49.68506221
0.26408549,49.68530141
