# disp (mm), load (kN)
0.000000000000000000e+00,0.000000000000000000e+00
-7.441278792820476759e-03,-2.024999999999999911e+00
-1.488255758564095352e-02,-4.049999999999999822e+00
-2.232383637846142854e-02,-6.075000000000000178e+00
-2.976511517128190704e-02,-8.099999999999999645e+00
-3.730356960341115607e-02,-1.012500000000000000e+01
-4.513736018718495641e-02,-1.215000000000000036e+01
-5.329716092779191589e-02,-1.417500000000000071e+01
-6.181721711238932770e-02,-1.619999999999999929e+01
-7.073706261933460082e-02,-1.822500000000000142e+01
-8.010374052632487918e-02,-2.025000000000000000e+01
-8.997306964644971594e-02,-2.227499999999999858e+01
-1.004114870278889488e-01,-2.430000000000000071e+01
-1.114997134974617249e-01,-2.632499999999999929e+01
-1.233365727500820574e-01,-2.835000000000000142e+01
-1.360450008169083180e-01,-3.037500000000000000e+01
-1.497805764552190277e-01,-3.239999999999999858e+01
-1.647441730929141424e-01,-3.442499999999999716e+01
-1.812012120225696687e-01,-3.645000000000000284e+01
-1.995122113835630373e-01,-3.847500000000000142e+01
-2.201835485484241184e-01,-4.050000000000000000e+01
-2.439567421113645884e-01,-4.252499999999999858e+01
-2.719768388809361559e-01,-4.454999999999999716e+01
-3.061400324856420330e-01,-4.657500000000000284e+01
-3.499021094567132395e-01,-4.860000000000000142e+01
-4.105065480297013791e-01,-5.062500000000000000e+01
-5.069378893542600961e-01,-5.264999999999999858e+01
-7.148219090582006441e-01,-5.467499999999999716e+01
-2.002260887099250652e+00,-5.670000000000000284e+01
