Simulation,
Displacement (mm),Load (kN)
0,0
0.00406761,0.846531737
0.006778354,1.587097507
0.009489695,2.22193651
0.017621925,4.443633819
0.020672334,5.131396006
0.024061211,5.977808143
0.026433486,6.559723962
0.028804564,7.353093315
0.031855272,7.987992118
0.03524385,8.887267639
0.037615826,9.522046842
0.041004404,10.42132236
0.043037611,10.950315
0.046426788,11.74386375
0.048799062,12.32577957
0.052526708,13.27797827
0.055238648,13.80709051
0.058965098,14.97074275
0.063369981,16.18737797
0.066420987,16.76941339
0.069809566,17.66868891
0.076587322,19.36151318
0.082347876,20.89556791
0.093530814,23.75216402
0.097596032,25.02160282
0.10030827,25.49785168
0.104035916,26.45005038
0.106069123,26.97904302
0.109118037,27.93112212
0.111829976,28.46023436
0.115218555,29.35950988
0.117590829,29.9414257
0.120300974,30.78771823
0.123011718,31.528284
0.126401792,32.16324261
0.129451901,32.90386818
0.13317865,34.01465703
0.1389404,35.33725822
0.144700057,37.02990309
0.150800575,38.45829085
0.156222361,39.88655901
0.162322281,41.42067353
0.167066232,42.69023194
0.173166152,44.22434646
0.178587639,45.705478
0.185027523,47.13392555
0.190787778,48.72084366
0.196210162,50.04338505
0.201631649,51.52451659
0.2073931,52.89998116
0.213153953,54.3811725
0.219255069,55.70383349
0.226034319,57.13234085
0.232475998,58.24360811
0.234171035,58.56108741
